"Company","Source","Product.Level","Distance","Temperature","Price"
"Uber","Northeastern University",2,2.59,35.63,15
"Lyft","Boston University",2,2.96,41.11,11
"Lyft","West End",1,1.52,44.88,5
"Uber","North Station",5,3.05,44.49,35
"Lyft","Boston University",4,1.49,41.36,22.5
"Uber","South Station",2,2.74,51.24,9.5
"Uber","North End",2,1.04,41.07,8.5
"Lyft","North Station",5,1.07,38.43,26
"Lyft","Fenway",3,2.51,41.17,19.5
"Lyft","North Station",2,3.32,41.37,11
"Uber","Beacon Hill",5,1.35,40.63,27.5
"Uber","Beacon Hill",2,2.48,54.64,8.5
"Uber","Financial District",2,7.46,41.26,15.5
"Uber","Back Bay",5,1.41,22.16,27
"Uber","Financial District",5,1.25,46.44,27.5
"Uber","West End",3,0.72,44.45,12
"Uber","Back Bay",2,2.32,21.25,9.5
"Uber","West End",5,1.71,33.41,27
"Lyft","South Station",5,2.38,35.19,38.5
"Uber","Fenway",2,1.5,46.86,11
"Lyft","Beacon Hill",1,1.32,39.19,3.5
"Lyft","Haymarket Square",4,1.34,23.13,13.5
"Lyft","Boston University",4,2.93,37.7,27.5
"Uber","Haymarket Square",2,0.85,40.99,7
"Lyft","North Station",1,3.15,42.82,5
"Lyft","North End",5,2.55,45.46,38.5
"Uber","Fenway",2,3.65,40.29,11.5
"Uber","Beacon Hill",5,1.45,27.1,26
"Lyft","Haymarket Square",2,1.32,25.27,7
"Lyft","Fenway",4,2.82,20.15,19.5
"Lyft","South Station",1,1.18,43.6,3
"Lyft","Theatre District",5,0.55,32.65,27.5
"Lyft","South Station",4,0.63,37.27,16.5
"Uber","North End",2,0.92,33.55,7
"Lyft","South Station",4,2.25,33.58,22.5
"Lyft","Fenway",3,3.25,45.01,19.5
"Lyft","North Station",4,1.04,28.09,13.5
"Uber","Northeastern University",2,2.87,35.71,12.5
"Lyft","Boston University",5,1.95,43.11,26
"Uber","Boston University",3,2.79,26.98,16
"Lyft","Boston University",5,2.96,43.11,34
"Uber","South Station",4,3.53,29.89,26
"Lyft","Beacon Hill",4,2.36,41.31,19.5
"Lyft","North Station",4,3.17,37.46,26
"Lyft","Fenway",4,3.64,49.88,27.5
"Lyft","Financial District",1,1.26,34.33,3
"Uber","Haymarket Square",4,0.49,44.94,16
"Lyft","Haymarket Square",4,0.91,44.76,16.5
"Uber","Beacon Hill",2,2.48,32.13,8.5
"Lyft","North End",1,1.14,32.14,5
"Lyft","Northeastern University",4,4.21,45.85,22.5
"Lyft","Boston University",3,4.7,40.65,22.5
"Uber","Haymarket Square",4,0.9,43.47,16
"Uber","Haymarket Square",2,0.62,30.01,7.5
"Lyft","Boston University",5,3.46,38.83,38.5
"Lyft","Beacon Hill",2,2.33,51.3,11
"Lyft","Back Bay",2,1.46,44.35,13.5
"Lyft","Boston University",5,4.68,33.02,42.5
"Uber","Boston University",2,3.39,29.86,11
"Uber","Back Bay",1,1.1,34.3,8
"Uber","North End",4,1.46,36.67,17.5
"Lyft","West End",2,2.9,20.06,10.5
"Uber","Boston University",1,1.56,41.54,7.5
"Uber","Fenway",5,4.42,37.98,39.5
"Uber","Financial District",2,0.39,43.74,7
"Lyft","North Station",4,2.11,36.73,19.5
"Lyft","North Station",3,0.73,39.36,11
"Lyft","Boston University",5,1.49,40.01,32.5
"Lyft","Northeastern University",1,3.23,39.45,3
"Uber","Financial District",3,4.48,52.14,26
"Lyft","South Station",1,2.01,41.17,7
"Lyft","Beacon Hill",5,2.31,46.15,27.5
"Uber","Haymarket Square",3,1.18,38.59,12
"Uber","Theatre District",1,1.57,28.01,7.5
"Lyft","West End",5,3.09,26.55,32.5
"Lyft","Haymarket Square",4,0.57,36.78,10.5
"Uber","North Station",3,2.17,33.53,14
"Uber","Back Bay",2,3.16,39.29,11.5
"Uber","Theatre District",3,2.66,26.35,17
"Uber","Boston University",1,2.98,44.51,11
"Lyft","Financial District",4,4.61,41.64,27.5
"Lyft","South Station",5,1.2,43.06,26
"Uber","Beacon Hill",3,2.27,35.7,14
"Lyft","Theatre District",5,4.8,44.64,45.5
"Uber","Fenway",4,2.72,44.87,22.5
"Lyft","North End",4,1.17,41.22,16.5
"Lyft","Fenway",4,1.43,40.8,16.5
"Lyft","Financial District",4,4.51,43.1,34
"Lyft","Beacon Hill",4,1.37,43.46,16.5
"Lyft","South Station",3,2,36.53,16.5
"Uber","South Station",2,2.58,39.9,10.5
"Uber","North Station",1,3.3,33.46,9
"Lyft","Boston University",2,4.69,44.37,13.5
"Uber","South Station",1,1.3,42.12,6.5
"Uber","Northeastern University",2,4.55,42.64,11.5
"Uber","Haymarket Square",2,1.16,38.59,7
"Uber","Theatre District",3,0.62,39.41,11.5
"Lyft","Boston University",2,3.14,32.74,10.5
"Lyft","Northeastern University",3,4.18,29.72,22.5
"Lyft","North End",1,1.29,33.21,3.5
"Uber","South Station",2,1.28,32.21,7.5
"Uber","Beacon Hill",1,2.48,41.3,8.5
"Uber","Back Bay",3,2.2,41.38,18
"Uber","Beacon Hill",2,1.97,39.85,8.5
"Lyft","Boston University",5,4.54,45.09,55
"Uber","North Station",2,1.08,45.44,7
"Uber","North Station",1,1.61,33.46,8.5
"Lyft","South Station",3,2.5,36.04,16.5
"Lyft","Fenway",3,2.82,45.46,16.5
"Lyft","Beacon Hill",1,1.37,35.41,5
"Lyft","Financial District",3,0.46,41.56,9
"Lyft","Financial District",4,1.02,20.14,16.5
"Lyft","Beacon Hill",5,2.43,42.67,27.5
"Lyft","Fenway",4,2.39,25.24,19.5
"Uber","West End",4,2.84,44.9,23
"Uber","Northeastern University",1,2.61,26.34,8.5
"Uber","Financial District",3,4.44,36.68,21.5
"Uber","North Station",2,3.01,21.36,10.5
"Uber","Financial District",3,4.48,36.92,20.5
"Uber","Boston University",2,2.98,39.37,10.5
"Uber","Theatre District",5,2.62,40.86,28.5
"Uber","North End",3,1.46,28.62,12.5
"Uber","South Station",1,1.3,36.26,6.5
"Uber","Theatre District",2,1.57,38.5,7.5
"Lyft","West End",4,0.76,38.33,11
"Lyft","Financial District",3,0.48,35.72,10.5
"Uber","South Station",4,1.3,30.53,16.5
"Uber","Theatre District",2,0.55,30.46,7
"Uber","West End",4,2.14,44.72,19.5
"Uber","Back Bay",4,3.45,42.82,23
"Lyft","Haymarket Square",1,1.19,44.76,5
"Lyft","South Station",5,1.15,39.23,26
"Uber","Northeastern University",4,1.47,41.51,15
"Uber","North End",3,1.16,39.42,10.5
"Lyft","South Station",1,1.94,42.31,5
"Uber","North Station",4,3.01,21.16,24.5
"Lyft","Beacon Hill",5,1.39,51.3,27.5
"Lyft","Northeastern University",5,4.24,36.96,38.5
"Lyft","North End",5,1.46,32.86,26
"Uber","Financial District",5,1.21,41.95,26
"Lyft","Northeastern University",2,2.41,38.17,9
"Uber","Beacon Hill",2,2.48,38.44,11
"Uber","South Station",3,2.58,39.74,17
"Uber","North End",1,1.41,30.1,9
"Lyft","North Station",3,3.32,30.51,19.5
"Uber","North Station",5,3.01,34.82,29.5
"Uber","Haymarket Square",3,1.18,32.28,11.5
"Lyft","Back Bay",5,1.06,44.77,26
"Lyft","Fenway",2,4.33,26.25,13.5
"Lyft","Boston University",5,2.94,45.31,38.5
"Lyft","Northeastern University",4,2.88,33.28,19.5
"Uber","North End",1,1.07,41.23,7.5
"Lyft","South Station",1,1.66,32.85,5
"Uber","Financial District",3,1.25,39.88,10.5
"Uber","West End",4,1,37.32,15.5
"Uber","Northeastern University",3,3.22,41.03,20.5
"Uber","Haymarket Square",1,1.16,34.31,8
"Uber","North Station",2,2.78,34.82,9.5
"Lyft","Beacon Hill",3,1.36,19.96,13.5
"Lyft","Theatre District",4,1.74,48.01,16.5
"Lyft","Theatre District",2,1.74,40.98,7
"Lyft","North Station",4,2.09,37.02,22.5
"Lyft","Beacon Hill",2,2.38,40.75,10.5
"Lyft","Financial District",3,1.01,44.42,13.5
"Uber","North End",1,2.84,43.49,9
"Uber","Fenway",2,2.66,32.06,9.5
"Uber","Northeastern University",3,3.22,38.92,19.5
"Lyft","South Station",5,2.15,41.34,32.5
"Uber","Theatre District",4,1.61,28.2,18
"Lyft","Boston University",3,1.49,52.71,13.5
"Lyft","Financial District",4,4.51,29.78,34
"Lyft","Beacon Hill",3,1.4,44.79,11
"Lyft","Beacon Hill",1,2.26,30.25,7
"Uber","South Station",5,1.3,33.79,27.5
"Uber","North End",2,1.41,33.21,10.5
"Uber","Haymarket Square",2,0.49,39.85,7
"Uber","North Station",4,0.56,35.41,16
"Uber","Fenway",3,3.42,36.35,68.5
"Lyft","West End",3,1.72,29.24,13.5
"Uber","Fenway",4,3.07,37.44,21.5
"Uber","Fenway",2,2.66,44.69,10.5
"Lyft","Theatre District",4,1.72,38.97,19.5
"Uber","Theatre District",2,2.62,42.67,10
"Lyft","Northeastern University",2,3.04,37.34,13.5
"Uber","Beacon Hill",3,2.27,42.43,15
"Uber","Fenway",4,2.46,39.46,18.5
"Lyft","Northeastern University",1,3.26,37.65,7
"Uber","Fenway",2,1.5,40.72,7
"Uber","West End",3,2.14,42.28,14
"Lyft","Northeastern University",4,1.97,30.98,16.5
"Lyft","Northeastern University",4,3.25,33.35,27.5
"Uber","Fenway",5,1.5,40.62,26.5
"Lyft","Back Bay",4,1.48,33.02,13.5
"Lyft","Haymarket Square",2,0.55,43.2,7
"Uber","Fenway",2,2.46,41.13,8.5
"Uber","Financial District",4,4.44,35.29,29
"Uber","Northeastern University",4,3.22,43.28,26
"Uber","Theatre District",4,0.62,52.72,15.5
"Uber","Financial District",5,4.44,39.63,36
"Uber","Financial District",1,1.25,39.89,7.5
"Uber","North End",2,1.04,42.41,9.5
"Lyft","West End",3,3.06,41.38,16.5
"Uber","Northeastern University",3,4.55,40.84,23
"Uber","Back Bay",5,1.41,43.2,27
"Uber","Beacon Hill",5,2.48,44.76,29.5
"Uber","Financial District",3,3.38,45.34,40.5
"Lyft","Back Bay",2,2.23,37.66,10.5
"Uber","Beacon Hill",2,1.35,40.23,7.5
"Lyft","Back Bay",4,1.84,44.11,30
